no,Player,pos,wt,birth_date,nationality,exp,college,year,team,result
44,Matt Walsh,SG,205,2-Dec-82,us,R,Florida,2006,MIA,win
55,Jason Williams,PG,190,18-Nov-75,us,7,"Marshall, Florida",2006,MIA,win
1,Dorell Wright,SF,205,2-Dec-85,us,1,,2006,MIA,win
17,Brent Barry,SG,185,31-Dec-71,us,11,Oregon State,2007,SAS,win
15,Matt Bonner,PF,235,5-Apr-80,us,2,Florida,2007,SAS,win
12,Bruce Bowen,SF,185,14-Jun-71,us,10,Cal State Fullerton,2007,SAS,win
45,Jackie Butler,C,250,10-Mar-85,us,2,,2007,SAS,win
21,Tim Duncan,C,250,25-Apr-76,vi,9,Wake Forest,2007,SAS,win
16,Francisco Elson,C,235,28-Feb-76,nl,3,California,2007,SAS,win
2,Melvin Ely,C,260,2-May-78,us,4,Fresno State,2007,SAS,win
4,Michael Finley,SF,215,6-Mar-73,us,11,Wisconsin,2007,SAS,win
20,Manu Ginóbili,SG,205,28-Jul-77,ar,4,,2007,SAS,win
5,Robert Horry,PF,240,25-Aug-70,us,14,Alabama,2007,SAS,win
7,Fabricio Oberto,C,245,21-Mar-75,ar,1,,2007,SAS,win
9,Tony Parker,PG,185,17-May-82,be,5,,2007,SAS,win
14,Beno Udrih,PG,205,5-Jul-82,si,2,,2007,SAS,win
11,Jacque Vaughn,PG,190,11-Feb-75,us,9,Kansas,2007,SAS,win
33,James White,SG,200,21-Oct-82,us,R,"Florida, Cincinnati",2007,SAS,win
55,Eric Williams,SF,220,17-Jul-72,us,11,Providence,2007,SAS,win
20,Ray Allen,SG,205,20-Jul-75,us,11,UConn,2008,BOS,win
42,Tony Allen,SG,213,11-Jan-82,us,3,"Butler County Community College, Oklahoma State",2008,BOS,win
93,P.J. Brown,PF,225,14-Oct-69,us,14,Louisiana Tech,2008,BOS,win
28,Sam Cassell,PG,185,18-Nov-69,us,14,Florida State,2008,BOS,win
11,Glen Davis,C,289,1-Jan-86,us,R,LSU,2008,BOS,win
5,Kevin Garnett,PF,240,19-May-76,us,12,,2008,BOS,win
50,Eddie House,PG,180,14-May-78,us,7,Arizona State,2008,BOS,win
43,Kendrick Perkins,C,270,10-Nov-84,us,4,,2008,BOS,win
34,Paul Pierce,SF,235,13-Oct-77,us,9,Kansas,2008,BOS,win
66,Scot Pollard,C,265,12-Feb-75,us,10,Kansas,2008,BOS,win
41,James Posey,PF,215,13-Jan-77,us,8,Xavier,2008,BOS,win
0,Leon Powe,C,240,22-Jan-84,us,1,California,2008,BOS,win
13,Gabe Pruitt,PG,170,19-Apr-86,us,R,USC,2008,BOS,win
9,Rajon Rondo,PG,180,22-Feb-86,us,1,Kentucky,2008,BOS,win
44,Brian Scalabrine,PF,241,18-Mar-78,us,6,USC,2008,BOS,win
3,Trevor Ariza,SF,215,30-Jun-85,us,4,UCLA,2009,LAL,win
12,Shannon Brown,SG,205,29-Nov-85,us,2,Michigan State,2009,LAL,win
24,Kobe Bryant,SG,212,23-Aug-78,us,12,,2009,LAL,win
17,Andrew Bynum,C,285,27-Oct-87,us,3,,2009,LAL,win
