no,Player,pos,wt,birth_date,nationality,exp,college,year,team,result
16,Aron Baynes,C,260,9-Dec-86,nz,1,Washington State,2014,SAS,win
3,Marco Belinelli,SF,220,25-Mar-86,it,6,,2014,SAS,win
15,Matt Bonner,PF,235,5-Apr-80,us,9,Florida,2014,SAS,win
1,Shannon Brown,SG,205,29-Nov-85,us,7,Michigan State,2014,SAS,win
23,Austin Daye,SF,220,5-Jun-88,us,4,Gonzaga,2014,SAS,win
25,Nando De Colo,SF,200,23-Jun-87,fr,1,,2014,SAS,win
33,Boris Diaw,PF,250,16-Apr-82,fr,10,,2014,SAS,win
21,Tim Duncan,C,250,25-Apr-76,vi,16,Wake Forest,2014,SAS,win
20,Manu Ginóbili,SG,205,28-Jul-77,ar,11,,2014,SAS,win
4,Danny Green,SG,215,22-Jun-87,us,4,UNC,2014,SAS,win
7,Damion James,SF,225,7-Oct-87,us,3,Texas,2014,SAS,win
7,Othyus Jeffers,SG,200,5-Aug-85,us,2,"University of Illinois at Chicago, Robert Morris University (IL)",2014,SAS,win
5,Cory Joseph,SG,200,20-Aug-91,ca,2,Texas,2014,SAS,win
2,Kawhi Leonard,SF,225,29-Jun-91,us,2,San Diego State,2014,SAS,win
8,Patty Mills,PG,180,11-Aug-88,au,4,Saint Mary's,2014,SAS,win
9,Tony Parker,PG,185,17-May-82,be,12,,2014,SAS,win
22,Tiago Splitter,C,245,1-Jan-85,br,3,,2014,SAS,win
24,Malcolm Thomas,PF,225,8-Nov-88,us,2,"Pepperdine, San Diego State",2014,SAS,win
19,Leandro Barbosa,SG,194,28-Nov-82,br,11,,2015,GSW,win
40,Harrison Barnes,SF,225,30-May-92,us,2,UNC,2015,GSW,win
12,Andrew Bogut,C,260,28-Nov-84,au,9,Utah,2015,GSW,win
30,Stephen Curry,PG,185,14-Mar-88,us,5,Davidson,2015,GSW,win
31,Festus Ezeli,C,255,21-Oct-89,ng,1,Vanderbilt,2015,GSW,win
23,Draymond Green,PF,230,4-Mar-90,us,2,Michigan State,2015,GSW,win
7,Justin Holiday,SG,180,5-Apr-89,us,1,Washington,2015,GSW,win
9,Andre Iguodala,SF,215,28-Jan-84,us,10,Arizona,2015,GSW,win
1,Ognjen Kuzmić,C,251,16-May-90,ba,1,,2015,GSW,win
10,David Lee,PF,245,29-Apr-83,us,9,Florida,2015,GSW,win
34,Shaun Livingston,PG,192,11-Sep-85,us,9,,2015,GSW,win
20,James Michael McAdoo,PF,230,4-Jan-93,us,R,UNC,2015,GSW,win
4,Brandon Rush,SG,220,7-Jul-85,us,6,Kansas,2015,GSW,win
5,Marreese Speights,C,255,4-Aug-87,us,6,Florida,2015,GSW,win
11,Klay Thompson,SG,215,8-Feb-90,us,3,Washington State,2015,GSW,win
30,Carlos Arroyo,PG,202,30-Jul-79,pr,3,Florida International University,2005,DET,lost
1,Chauncey Billups,PG,202,25-Sep-76,us,7,Colorado,2005,DET,lost
41,Elden Campbell,C,215,23-Jul-68,us,14,Clemson,2005,DET,lost
44,Derrick Coleman,C,230,21-Jun-67,us,14,Syracuse,2005,DET,lost
20,Carlos Delfino,SG,230,29-Aug-82,ar,R,,2005,DET,lost
12,Ronald Dupree,SF,209,26-Jan-81,us,1,LSU,2005,DET,lost
7,Anthony Goldwire,PG,182,6-Sep-71,us,6,Houston,2005,DET,lost
8,Darvin Ham,SF,220,23-Jul-73,us,7,Texas Tech,2005,DET,lost
32,Richard Hamilton,SG,185,14-Feb-78,us,5,UConn,2005,DET,lost
10,Lindsey Hunter,SG,170,3-Dec-70,us,11,"Alcorn State, Jackson State University",2005,DET,lost
5,Horace Jenkins,PG,180,14-Oct-74,us,R,William Paterson University,2005,DET,lost
24,Antonio McDyess,PF,220,7-Sep-74,us,8,Alabama,2005,DET,lost
31,Darko Miličić,C,250,20-Jun-85,rs,1,,2005,DET,lost
7,Smush Parker,PG,190,1-Jun-81,us,1,Fordham,2005,DET,lost
22,Tayshaun Prince,SF,212,28-Feb-80,us,2,Kentucky,2005,DET,lost
3,Ben Wallace,C,240,10-Sep-74,us,8,Virginia Union University,2005,DET,lost
36,Rasheed Wallace,PF,225,17-Sep-74,us,9,UNC,2005,DET,lost
